relvolume,low,open,high,price,percentchange,symbol,watchers,hourchange,sentiment
0.7973,124.19,124.31,126.1508,125.94,1.8191,IBM,51325,1,1.06
0.8466,5.19,5.47,5.54,5.22,-4.3956,SOFI,91582,-1,1.06
0.5323,113.01,113.01,114.28,113.52,0.15,EA,20730,0,33.33
0.819,251.3,256.15,260.24,259.0,0.6803,NVDA,419424,7,0.91
0.723,193.64,198.48,199.36,197.81,1.1247,META,511735,0,0.6
1.2161,269.85,276.98,277.48,272.23,-2.5767,MSFT,441936,6,-0.02
1.5349,92.9,96.3,96.94,96.81,-1.0527,AMD,455939,3,-0.85
0.3366,6.87,7.43,7.81,7.07,-7.5817,CVNA,23279,0,-1.45
0.7742,95.7,98.41,98.48,97.71,-1.2532,AMZN,586756,0,0.39
1.609,126.01,126.99,129.46,127.14,1.0571,JPM,82206,1,1.04
0.4475,445.36,445.27,452.2,449.26,1.2759,NOC,8002,0,9.09
0.4546,4.14,4.25,4.38,4.27,2.1531,AMC,411733,-6,-0.65
0.7301,99.88,100.12,101.75,101.22,-0.3936,GOOGL,159582,7,-0.4
0.6925,176.35,178.08,186.44,183.25,1.7321,TSLA,888858,1,-0.74
1.1668,87.33,87.52,89.16,88.42,2.196,SONY,2079,0,0.0
0.8489,154.15,155.07,157.81,157.4,1.5484,AAPL,876018,5,-0.47
1.1646,185.2,189.59,196.88,192.51,4.8301,ENPH,37206,3,0.99
0.7742,28.63,29.8,29.9,29.16,-2.1805,INTC,130821,-2,-0.38
