high,relvolume,open,symbol,price,low,percentchange,watchers,hourchange,sentiment
126.69,1.0535,126.0,IBM,125.73,125.27,-0.4986,51487,0,1.75
166.45,0.7882,165.05,AAPL,165.02,164.5,-0.9781,878307,-3,-1.67
213.41,0.5292,210.21,META,212.89,209.76,-0.0845,513008,3,-1.19
108.15,1.2806,106.1,AMZN,106.96,105.08,3.0344,588947,7,0.38
89.72,0.6306,89.8,AMD,88.43,88.055,-1.8644,456946,4,0.47
166.0,0.7409,164.8,TSLA,165.08,161.33,1.2823,892741,-6,1.13
8.29,0.2397,7.97,CVNA,8.14,7.735,1.75,23256,-1,0.14
226.77,0.5057,223.75,ENPH,223.61,219.9,-0.5249,37490,0,1.8
106.0,0.5543,105.47,GOOGL,105.41,104.79,0.114,160609,3,-1.19
92.38,0.7484,91.87,SONY,92.05,91.61,0.7332,2089,0,0.0
5.99,0.4494,5.9,SOFI,5.94,5.85,0.3378,91964,2,0.01
474.875,0.6011,475.72,NOC,471.99,468.84,-0.4618,8044,0,1.43
5.07,0.3518,4.94,AMC,4.99,4.91,0.4024,413189,2,0.48
141.11,0.6957,139.74,JPM,140.54,138.78,-0.1917,82973,0,-3.92
30.79,0.5032,30.84,INTC,30.3,30.225,-1.8146,131284,-2,-1.16
130.12,0.504,129.05,EA,129.11,128.695,0.2407,20702,0,25.0
286.26,0.5756,285.01,MSFT,285.76,283.0608,-0.1223,443714,-6,-1.79
271.83,0.644,269.52,NVDA,271.19,267.2301,0.0553,422040,0,1.17
