high,price,open,relvolume,symbol,percentchange,low,watchers,hourchange,sentiment
5.93,5.72,5.87,0.6344,SOFI,-0.5217,5.62,91769,0,-1.14
32.58,32.09,31.85,1.4198,INTC,1.8084,31.81,131054,0,4.5
99.53,97.88,98.0,0.8812,AMD,1.8628,97.25,456364,1,-3.07
103.04,102.0,101.55,0.6777,AMZN,1.7456,101.01,587425,0,3.58
462.92,460.98,460.46,0.3938,NOC,-0.1278,458.5,8023,0,0.0
131.48,129.22,130.16,0.5487,IBM,-0.3778,129.1,51343,0,8.38
197.328,195.28,195.58,0.6092,TSLA,0.7221,194.42,889751,7,4.19
120.05,119.1,120.0,0.5217,EA,-0.0755,118.85,20710,0,5.56
89.53,89.31,88.7,1.4544,SONY,1.6388,88.555,2082,0,0.0
274.99,273.83,272.29,0.6652,NVDA,1.4787,271.02,420570,-1,2.26
9.0,8.83,8.08,0.5721,CVNA,12.1982,8.0748,23362,-4,-5.02
5.16,4.97,5.11,0.5325,AMC,-0.6,4.865,412470,-4,0.78
162.47,162.36,161.53,0.5827,AAPL,0.989,161.271,876771,4,3.65
284.46,284.05,284.23,0.6427,MSFT,1.262,281.5,442600,1,-0.15
208.09,207.84,203.38,0.6432,META,1.2126,202.85,512301,3,6.06
214.19,205.27,209.435,0.6629,ENPH,0.6472,203.96,37321,1,-2.13
130.12,128.75,129.95,0.7826,JPM,-0.302,127.65,82474,0,1.08
101.155,100.89,100.91,0.6807,GOOGL,-0.4931,99.78,159890,2,2.97
