percentchange,price,low,symbol,high,relvolume,open,watchers,hourchange,sentiment
1.5004,90.65,89.75,SONY,90.92,1.4706,89.77,2084,0,0.0
1.4388,277.77,271.05,NVDA,278.34,0.7758,271.4,420629,2,4.42
2.4407,210.28,205.81,ENPH,212.12,0.544,206.02,37334,-1,0.66
1.4471,131.09,129.42,IBM,131.23,0.5809,129.47,51344,0,2.22
0.1605,461.72,459.45,NOC,463.32,0.4159,462.98,8029,0,0.0
0.8048,5.01,4.87,AMC,5.055,0.4763,4.91,412474,2,0.13
6.1189,6.07,5.67,SOFI,6.17,1.0566,5.75,91786,5,1.92
1.9727,211.94,206.77,META,212.17,0.653,207.24,512334,1,4.07
1.8074,32.67,31.74,INTC,32.8998,1.0575,31.8,131091,0,0.77
0.1328,98.01,95.27,AMD,98.36,0.8317,96.34,456389,1,3.61
1.5644,164.9,162.13,AAPL,165.0,0.7363,162.44,876840,1,4.9
6.2372,207.46,197.23,TSLA,207.79,0.9318,197.53,889885,3,8.25
10.872,9.79,8.77,CVNA,9.79,0.475,8.9,23371,0,6.68
1.4962,288.3,283.03,MSFT,288.81,0.7248,283.73,442664,2,2.16
1.1335,120.45,118.985,EA,120.53,0.6957,119.38,20709,0,0.0
1.2117,130.31,128.8514,JPM,130.34,0.7219,129.66,82481,0,-2.92
2.8149,103.73,101.05,GOOGL,103.89,0.6778,101.3,159929,4,2.16
1.2647,103.29,101.95,AMZN,103.42,0.6381,102.16,587497,0,3.51
