open,percentchange,symbol,high,low,price,relvolume,watchers,hourchange,sentiment
267.34,-0.1208,NVDA,268.869,263.29,264.63,0.6485,421515,3,-2.68
5.48,2.2472,AMC,5.66,5.39,5.46,0.5092,413219,3,-3.19
161.63,3.4104,AAPL,165.8,161.44,165.56,0.8567,877752,9,4.25
128.01,-0.4979,IBM,128.39,126.01,127.9,0.8901,51365,1,6.94
98.95,4.6714,AMZN,102.56,98.73,102.4,0.9312,588378,1,4.69
283.59,2.2399,MSFT,289.9,283.17,289.84,0.602,443354,4,0.83
9.27,1.4069,CVNA,9.76,9.201,9.37,0.3162,23338,0,1.75
128.46,0.3813,JPM,129.035,126.84,128.99,0.7779,82724,12,5.21
5.91,0.6873,SOFI,5.98,5.825,5.86,0.5437,91912,1,2.23
472.0,0.294,NOC,476.065,469.78,474.16,0.3826,8038,0,-16.67
90.1,1.174,SONY,90.83,90.0,90.49,0.7734,2088,0,0.0
31.82,0.3435,INTC,32.4252,31.65,32.13,0.474,131233,1,4.48
105.84,2.6663,GOOGL,107.49,105.9,107.43,0.5101,160358,0,-1.99
126.58,1.7046,EA,128.72,126.58,128.28,0.4634,20703,0,6.67
182.955,2.9689,TSLA,186.5,180.94,185.9,0.6485,891316,2,1.06
215.73,2.9673,META,221.15,215.82,220.35,0.6771,512797,4,2.53
200.01,6.9683,ENPH,211.55,198.52,209.69,0.9909,37423,0,-4.82
92.79,-0.2599,AMD,93.16,91.83,92.09,0.6105,456763,3,1.01
