price,percentchange,low,symbol,relvolume,open,high,watchers,hourchange,sentiment
449.235,1.2703,445.36,NOC,0.4475,445.27,452.2,8002,0,9.09
271.95,-2.6769,269.85,MSFT,1.2161,276.98,277.48,441930,4,-0.03
258.8,0.6025,251.3,NVDA,0.819,256.15,260.24,419417,4,1.07
197.8,1.1196,193.64,META,0.723,198.48,199.36,511735,0,0.54
192.56,4.8573,185.2,ENPH,1.1646,189.59,196.88,37203,-4,0.93
183.09,1.6433,176.35,TSLA,0.6925,178.08,186.44,888857,4,-0.43
157.43,1.5677,154.15,AAPL,0.8489,155.07,157.81,876013,5,-0.7
127.05,0.9856,126.01,JPM,1.609,126.99,129.46,82205,5,0.49
125.98,1.8514,124.19,IBM,0.7973,124.31,126.1508,51324,0,-0.86
113.43,0.0706,113.01,EA,0.5323,113.01,114.28,20730,0,0.0
101.22,-0.3936,99.88,GOOGL,0.7301,100.12,101.75,159575,4,-0.31
97.64,-1.3239,95.7,AMZN,0.7742,98.41,98.48,586756,4,0.75
96.84,-1.0221,92.9,AMD,1.5349,96.3,96.94,455936,1,-0.73
88.42,2.196,87.33,SONY,1.1668,87.52,89.16,2079,0,0.0
29.155,-2.1972,28.63,INTC,0.7742,29.8,29.9,130823,1,0.19
7.065,-7.6471,6.87,CVNA,0.3366,7.43,7.81,23279,-3,-1.47
5.225,-4.304,5.19,SOFI,0.8466,5.47,5.54,91583,-1,1.29
4.28,2.3923,4.14,AMC,0.4546,4.25,4.38,411739,1,-0.62
