percentchange,symbol,low,high,relvolume,price,open,watchers,hourchange,sentiment
0.349,NOC,469.78,476.065,0.3007,474.42,472.0,8037,-1,-8.57
2.0565,MSFT,283.17,289.47,0.5011,289.32,283.59,443338,-1,-1.85
0.6775,NVDA,263.29,268.869,0.5715,266.745,267.34,421491,5,-3.13
2.8037,META,215.82,221.15,0.5957,220.0,215.73,512791,5,1.88
7.5631,ENPH,198.52,211.55,0.8374,210.856,200.01,37416,-3,-2.01
3.0465,TSLA,180.94,186.5,0.6109,186.0401,182.955,891313,6,-0.16
3.3604,AAPL,161.44,165.5786,0.7195,165.48,161.63,877738,10,1.43
0.179,JPM,126.84,128.825,0.6353,128.73,128.46,82673,15,-5.33
-0.1478,IBM,126.01,128.39,0.7135,128.35,128.01,51365,-2,5.26
1.6095,EA,126.58,128.72,0.3628,128.16,126.58,20703,0,0.0
2.6758,GOOGL,105.9,107.47,0.4418,107.44,105.84,160364,4,-0.77
4.6663,AMZN,98.73,102.56,0.8233,102.395,98.95,588365,15,4.23
0.4116,AMD,91.83,93.16,0.5508,92.71,92.79,456754,2,1.81
1.4144,SONY,90.0,90.83,0.5438,90.705,90.1,2088,0,0.0
0.8307,INTC,31.65,32.4252,0.3914,32.286,31.82,131230,0,1.39
0.7035,CVNA,9.201,9.76,0.2839,9.305,9.27,23334,-2,0.35
0.6014,SOFI,5.825,5.98,0.4666,5.855,5.91,91913,-6,0.89
0.9644,AMC,5.39,5.66,0.4651,5.3915,5.48,413217,-1,-3.34
