relvolume,percentchange,symbol,high,price,low,open,watchers,hourchange,sentiment
0.6207,3.0954,AMZN,100.4218,100.25,98.5801,98.69,587352,2,1.22
0.5083,2.3271,META,205.72,205.35,202.54,203.56,512243,1,0.12
0.9598,0.2017,JPM,130.22,129.14,127.77,130.1,82460,1,-0.93
0.7071,2.8623,SOFI,5.9199,5.75,5.65,5.69,91762,2,-1.08
0.6183,0.3563,GOOGL,102.43,101.39,100.655,102.28,159836,0,4.31
0.765,-2.9126,AMC,5.2084,5.0,4.83,5.14,412480,-5,-0.59
0.7832,5.3896,ENPH,205.77,203.95,191.385,196.75,37308,1,-0.62
0.7093,2.1734,NVDA,270.77,269.84,265.97,268.25,420470,0,-1.37
1.1442,2.3887,SONY,88.02,87.87,86.74,86.93,2084,0,0.0
0.8339,1.618,AMD,96.91,96.09,94.87,96.07,456332,0,-0.21
1.6683,7.6135,INTC,31.89,31.52,29.789,29.77,130911,8,7.05
0.674,2.479,TSLA,195.28,193.88,189.44,193.13,889638,9,0.48
0.2295,6.9293,CVNA,7.9,7.87,7.37,7.47,23365,1,-7.63
0.4098,0.9914,EA,119.325,119.19,118.08,118.08,20708,-1,0.0
0.5914,1.9184,MSFT,281.1398,280.51,278.41,278.96,442530,0,-1.71
0.4977,0.2861,IBM,130.348,129.71,129.18,130.12,51343,-1,0.76
0.6109,1.9791,AAPL,161.04,160.77,159.35,159.37,876718,11,-0.3
0.4154,0.5599,NOC,462.58,461.57,457.495,459.38,8021,0,25.0
