price,relvolume,open,low,high,percentchange,symbol,watchers,hourchange,sentiment
449.26,0.4475,445.27,445.005,452.31,1.2759,NOC,8003,0,8.33
183.25,0.6925,178.08,176.35,186.44,1.7321,TSLA,888858,2,-0.39
101.22,0.7301,100.12,99.88,101.75,-0.3936,GOOGL,159582,1,-0.64
88.42,1.1668,87.52,87.33,89.16,2.196,SONY,2079,0,0.0
157.4,0.8489,155.07,154.15,157.81,1.5484,AAPL,876027,1,-0.2
192.51,1.1646,189.59,185.2,196.88,4.8301,ENPH,37209,-3,1.58
29.16,0.7742,29.8,28.63,29.9,-2.1805,INTC,130824,3,-1.08
259.0,0.819,256.15,251.3,260.24,0.6803,NVDA,419430,2,0.65
125.94,0.7973,124.31,124.19,126.16,1.8191,IBM,51327,0,1.06
5.22,0.8466,5.47,5.19,5.54,-4.3956,SOFI,91589,1,1.08
197.81,0.723,198.48,193.64,199.36,1.1247,META,511736,4,1.16
113.52,0.5323,113.01,113.01,114.28,0.15,EA,20731,1,33.33
7.07,0.3366,7.43,6.87,7.82,-7.5817,CVNA,23279,3,-1.62
97.71,0.7742,98.41,95.7,98.48,-1.2532,AMZN,586764,7,0.79
272.23,1.2161,276.98,269.85,277.48,-2.5767,MSFT,441941,1,0.02
127.14,1.609,126.99,126.01,129.47,1.0571,JPM,82205,-7,0.76
96.81,1.5349,96.3,92.9,96.94,-1.0527,AMD,455937,0,-0.84
4.27,0.4546,4.25,4.14,4.38,2.1531,AMC,411726,0,-0.43
