low,relvolume,price,symbol,open,high,percentchange,watchers,hourchange,sentiment
209.76,0.5292,212.87,META,210.21,213.41,-0.0939,513000,1,0.2
105.08,1.2806,106.95,AMZN,106.1,108.15,3.0248,588920,0,0.33
164.5,0.7882,164.99,AAPL,165.05,166.45,-0.9961,15,1,-1.99
88.055,0.6306,88.4,AMD,89.8,89.72,-1.8977,456943,3,1.92
161.33,0.7409,165.01,TSLA,164.8,166.0,1.2393,892724,10,0.22
104.79,0.5543,105.42,GOOGL,105.47,106.0,0.1235,160602,1,0.24
7.735,0.2397,8.145,CVNA,7.97,8.29,1.8125,23257,-3,-2.84
91.61,0.7484,92.06,SONY,91.87,92.38,0.7441,2089,0,0.0
219.9,0.5057,223.6,ENPH,223.75,226.77,-0.5294,37486,3,3.16
5.85,0.4494,5.945,SOFI,5.9,5.99,0.4223,91960,1,-0.39
468.84,0.6011,471.895,NOC,475.72,474.875,-0.4819,8044,0,-4.62
4.91,0.3518,4.965,AMC,4.94,5.07,-0.1006,413185,0,-0.6
30.225,0.5032,30.309,INTC,30.84,30.79,-1.7855,131284,-7,-1.05
128.695,0.504,129.09,EA,129.05,130.12,0.2252,20703,0,0.0
283.0608,0.5756,285.7,MSFT,285.01,286.26,-0.1433,443714,0,0.44
125.27,1.0535,125.73,IBM,126.0,126.69,-0.4986,51490,4,-0.13
138.78,0.6957,140.59,JPM,139.74,141.11,-0.1562,82974,-4,-2.64
267.2301,0.644,271.26,NVDA,269.52,271.83,0.0812,422041,-2,1.57
