high,percentchange,price,low,symbol,relvolume,open,watchers,hourchange,sentiment
29.33,0.4798,29.32,28.63,INTC,0.6633,29.075,130891,0,-0.81
102.4,-1.4249,101.0,99.7401,GOOGL,0.707,102.44,159817,0,-4.76
7.72,-3.2808,7.37,7.22,CVNA,0.235,7.57,23387,-7,-0.32
196.515,-1.1924,193.495,190.624,ENPH,0.3801,196.0,37298,-1,-3.4
129.66,0.0077,129.32,128.8,IBM,0.4651,129.18,51344,0,3.35
276.13,-0.408,275.2525,272.05,MSFT,0.5713,275.79,442486,4,-2.62
129.3417,0.2724,128.84,127.75,JPM,0.7437,128.71,82450,-1,-1.89
158.1277,-0.3601,157.71,155.98,AAPL,0.5555,157.97,876656,3,-2.51
96.93,-2.0547,94.625,92.87,AMD,0.907,96.77,456309,2,-1.22
118.4425,-0.531,118.01,117.38,EA,0.5197,118.085,20715,0,-1.01
201.03,-1.0599,200.69,197.9,META,0.535,200.15,512220,-3,-3.47
265.13,-0.4184,264.2,258.5,NVDA,0.6755,264.47,420423,3,-0.39
461.5,0.1593,458.98,457.59,NOC,0.3387,458.31,8016,0,-2.78
192.35,-1.3764,189.17,185.43,TSLA,0.5363,192.0,889585,16,-3.02
86.6682,-0.9464,85.82,85.745,SONY,0.8063,86.11,2081,0,0.0
98.44,-0.8058,97.25,96.29,AMZN,0.4953,98.11,587260,7,-1.74
5.5,12.3626,5.1125,4.46,AMC,2.4732,4.51,412081,107,-0.37
5.79,-3.0382,5.585,5.51,SOFI,0.5751,5.74,91755,0,0.53
