relvolume,low,percentchange,high,symbol,price,open,watchers,hourchange,sentiment
0.6778,101.05,2.8149,103.89,GOOGL,103.73,101.3,159928,2,3.22
0.6381,101.95,1.2647,103.42,AMZN,103.29,102.16,587485,5,2.35
1.4706,89.75,1.5004,90.92,SONY,90.65,89.77,2084,0,0.0
0.7758,271.05,1.4388,278.34,NVDA,277.77,271.4,420635,5,4.13
0.544,205.81,2.4407,212.12,ENPH,210.28,206.02,37336,2,-1.0
0.5809,129.42,1.4471,131.23,IBM,131.09,129.47,51346,0,2.04
1.0566,5.67,6.1189,6.17,SOFI,6.07,5.75,91783,-1,0.97
0.4159,459.45,0.1605,463.32,NOC,461.72,462.98,8027,1,0.0
0.4763,4.87,0.8048,5.055,AMC,5.01,4.91,412473,-4,0.1
0.653,206.77,1.9727,212.17,META,211.94,207.24,512329,0,3.58
1.0575,31.74,1.8074,32.8998,INTC,32.67,31.8,131094,-2,0.0
0.8317,95.27,0.1328,98.36,AMD,98.01,96.34,456390,0,4.01
0.475,8.77,10.872,9.79,CVNA,9.79,8.9,23373,-3,7.44
0.9318,197.23,6.2372,207.79,TSLA,207.46,197.53,889873,6,7.81
0.7363,162.13,1.5644,165.0,AAPL,164.9,162.44,876843,10,4.88
0.6957,118.985,1.1335,120.53,EA,120.45,119.38,20709,0,-7.14
0.7248,283.03,1.4962,288.81,MSFT,288.3,283.73,442661,4,2.56
0.7219,128.8514,1.2117,130.34,JPM,130.31,129.66,82483,-1,-2.19
