price,low,open,percentchange,high,relvolume,symbol,watchers,hourchange,sentiment
29.29,28.63,29.075,0.377,29.33,0.6633,INTC,130892,0,-1.84
101.03,99.7401,102.44,-1.3957,102.4,0.707,GOOGL,159815,-1,-4.31
7.36,7.22,7.57,-3.4121,7.72,0.235,CVNA,23375,-4,-0.44
193.52,190.624,196.0,-1.1796,196.515,0.3801,ENPH,37300,0,-2.8
129.34,128.8,129.18,0.0232,129.66,0.4651,IBM,51346,-1,1.27
157.65,155.98,157.97,-0.398,158.1277,0.5555,AAPL,876660,4,-2.36
275.23,272.05,275.79,-0.4161,276.13,0.5713,MSFT,442493,0,-1.76
94.56,92.87,96.77,-2.1219,96.93,0.907,AMD,456320,0,-0.46
200.68,197.9,200.15,-1.0649,201.03,0.535,META,512233,0,-3.91
128.88,127.75,128.71,0.3035,129.3417,0.7437,JPM,82452,0,-5.83
264.1,258.5,264.47,-0.4561,265.13,0.6755,NVDA,420435,0,-1.25
459.0,457.59,458.31,0.1637,461.5,0.3387,NOC,8021,1,3.57
189.19,185.43,192.0,-1.3659,192.35,0.5363,TSLA,889594,2,-3.15
118.02,117.38,118.085,-0.5226,118.4425,0.5197,EA,20713,0,4.44
85.82,85.74,86.11,-0.9464,86.6682,0.8063,SONY,2082,1,0.0
5.59,5.51,5.74,-2.9514,5.79,0.5751,SOFI,91760,3,-0.33
5.15,4.46,4.51,13.1868,5.5,2.4732,AMC,412384,18,0.8
97.24,96.29,98.11,-0.816,98.44,0.4953,AMZN,587299,1,-0.55
