open,high,low,relvolume,symbol,percentchange,price,watchers,hourchange,sentiment
139.74,141.11,138.78,0.6957,JPM,-0.1917,140.54,82969,-4,-3.66
30.84,30.79,30.225,0.5032,INTC,-1.8146,30.3,131265,-19,0.27
129.05,130.12,128.695,0.504,EA,0.2407,129.11,20700,-2,25.0
126.0,126.69,125.27,1.0535,IBM,-0.4986,125.73,51479,-8,1.87
269.52,271.83,267.2301,0.644,NVDA,0.0553,271.19,422022,-18,1.04
165.05,166.45,164.5,0.7882,AAPL,-0.9781,165.02,878259,-48,-1.95
285.01,286.26,283.0608,0.5756,MSFT,-0.1223,285.76,443705,-9,-1.79
210.21,213.41,209.76,0.5292,META,-0.0845,212.89,512981,-27,-1.62
106.1,108.15,105.08,1.2806,AMZN,3.0344,106.96,588936,-11,0.01
89.8,89.72,88.055,0.6306,AMD,-1.8644,88.43,456920,-26,0.24
7.97,8.29,7.735,0.2397,CVNA,1.75,8.14,23240,-16,-1.6
164.8,166.0,161.33,0.7409,TSLA,1.2823,165.08,892723,-18,1.11
105.47,106.0,104.79,0.5543,GOOGL,0.114,105.41,160602,-7,-1.75
91.87,92.38,91.61,0.7484,SONY,0.7332,92.05,2089,0,0.0
223.75,226.77,219.9,0.5057,ENPH,-0.5249,223.61,37487,-3,2.0
5.9,5.99,5.85,0.4494,SOFI,0.3378,5.94,91955,-9,0.06
475.72,474.875,468.84,0.6011,NOC,-0.4618,471.99,8043,-1,7.14
4.94,5.07,4.91,0.3518,AMC,0.4024,4.99,413114,-75,0.72
