symbol,relvolume,open,high,price,percentchange,low,watchers,hourchange,sentiment
NOC,0.3066,467.22,473.3,471.18,0.658,467.85,8036,-1,0.0
MSFT,0.4473,285.85,287.145,284.26,-1.0168,282.95,442940,5,-3.89
NVDA,0.7467,268.29,269.98,266.88,-2.7866,263.95,421035,3,-4.44
META,0.4231,214.15,215.19,211.5,-1.4996,209.95,512550,5,-2.7
ENPH,0.681,200.0,201.62,192.155,-5.1274,187.73,37375,3,-0.25
TSLA,0.5906,190.515,190.68,186.5,-3.1571,183.76,890592,10,-1.42
AAPL,0.5059,164.74,165.05,162.865,-1.6694,161.8,877243,0,-7.02
IBM,0.2733,131.37,132.61,132.2202,0.4713,131.47,51358,0,0.0
JPM,0.4313,126.8,128.14,127.74,0.2511,126.46,82526,4,5.76
EA,0.4395,125.24,126.245,125.8,0.4471,124.85,20706,0,8.33
GOOGL,0.4823,105.78,106.1,104.235,-0.4631,103.66,160111,3,0.52
AMZN,0.4376,103.91,103.91,101.61,-2.2511,100.7506,587859,5,0.63
AMD,0.6001,94.35,94.5,92.36,-3.6612,91.36,456572,1,-2.88
SONY,0.4949,89.9,90.02,89.65,-1.4943,89.53,2087,0,0.0
INTC,0.5139,32.795,32.985,32.825,-0.8308,32.335,131187,-3,0.24
CVNA,0.2561,9.38,9.38,8.735,-8.0526,8.3901,23332,-4,-1.8
SOFI,0.6234,5.87,5.87,5.735,-2.6316,5.5801,91868,0,0.36
AMC,0.5546,4.07,4.09,4.01,2.5575,3.94,412889,-6,-2.65
