high,symbol,price,relvolume,percentchange,open,low,watchers,hourchange,sentiment
477.68,NOC,474.79,0.4391,0.4698,472.99,471.38,8040,0,8.33
291.58,MSFT,288.7,0.6118,0.8947,289.93,286.2,443539,0,1.84
270.0,NVDA,269.98,0.5878,0.8969,265.655,264.36,421729,6,-1.29
229.23,ENPH,225.0,1.7249,7.707,215.0,214.7801,37465,5,3.35
220.979,META,218.86,0.4402,-1.1874,219.79,217.13,512902,4,0.56
189.69,TSLA,186.945,0.6825,1.0514,186.32,182.7,891638,14,0.61
165.39,AAPL,165.2021,0.5412,-0.0048,165.09,164.03,878005,7,1.79
140.06,JPM,139.8025,1.0164,0.7731,139.95,137.66,82968,0,0.57
128.42,EA,128.08,0.4493,0.1642,127.37,127.14,20706,0,-10.0
128.72,IBM,127.79,0.5124,-0.2731,128.3,126.8,51377,0,-3.45
106.155,GOOGL,105.94,0.816,-2.6913,104.658,104.52,160517,7,-11.56
103.73,AMZN,102.77,0.5299,0.2536,103.16,101.59,588603,0,-1.11
91.23,SONY,91.141,0.9083,0.3093,90.55,90.35,2088,0,0.0
90.69,AMD,89.875,0.7217,-2.0436,90.23,88.3,456845,5,-1.85
32.64,INTC,32.14,0.5168,0.7839,31.95,31.77,131268,2,3.07
9.2192,CVNA,9.08,0.273,1.2263,8.91,8.68,23313,0,-1.16
6.0,SOFI,5.955,0.6655,0.5912,5.89,5.81,91914,3,0.0
5.3,AMC,5.2,0.3666,1.5625,5.24,5.1301,413208,-2,-1.23
