open,relvolume,price,percentchange,low,symbol,high,watchers,hourchange,sentiment
166.1,0.6295,166.47,0.7505,165.65,AAPL,167.41,878098,4,3.87
106.49,0.5757,104.5,-1.3872,104.07,GOOGL,106.515,160554,0,-2.65
187.15,0.5393,184.31,-1.4596,183.5887,TSLA,187.69,891798,4,-0.73
9.22,0.2683,8.8,-2.8698,8.76,CVNA,9.285,23297,1,-4.14
219.91,0.3488,217.89,-0.4432,216.215,META,220.44,512946,-2,1.03
291.57,0.5165,288.37,-0.1489,287.02,MSFT,291.6,443620,1,4.77
140.27,0.8356,141.4,1.1228,139.03,JPM,141.78,82990,1,-0.52
225.43,0.8254,227.87,1.3116,222.23,ENPH,231.31,37486,0,-1.64
475.74,0.6483,479.47,0.9857,475.74,NOC,483.4,8043,0,-11.11
103.95,0.555,102.3,-0.4283,101.52,AMZN,104.2,588663,4,1.28
128.81,0.5166,129.04,0.7495,127.82,EA,129.38,20704,0,0.0
128.14,0.4769,127.78,-0.0313,127.35,IBM,128.68,51378,-1,-0.62
6.0,0.4567,5.98,0.3356,5.895,SOFI,6.02,91919,-1,-0.93
5.23,0.3403,5.05,-2.8846,4.98,AMC,5.212,413181,-3,-1.82
32.43,0.4755,31.83,-0.9645,31.785,INTC,32.46,131278,0,0.54
275.335,1.1798,276.67,2.4628,273.57,NVDA,281.0802,421845,0,-0.04
91.61,0.6994,89.78,-0.1001,89.33,AMD,92.16,456871,2,2.78
91.57,0.8545,91.31,0.1755,90.99,SONY,91.86,2087,0,0.0
