percentchange,high,price,low,relvolume,symbol,open,watchers,hourchange,sentiment
6.1189,6.17,6.07,5.67,1.0566,SOFI,5.75,91784,3,0.85
0.1605,463.32,461.72,459.45,0.4159,NOC,462.98,8026,0,0.0
1.9727,212.17,211.94,206.77,0.653,META,207.24,512329,-12,4.29
0.8048,5.055,5.01,4.87,0.4763,AMC,4.91,412477,4,-0.06
1.8074,32.8998,32.67,31.74,1.0575,INTC,31.8,131096,4,0.0
0.1328,98.36,98.01,95.27,0.8317,AMD,96.34,456390,0,3.74
10.872,9.79,9.79,8.77,0.475,CVNA,8.9,23376,15,2.91
6.2372,207.79,207.46,197.23,0.9318,TSLA,197.53,889867,8,7.79
1.5644,165.0,164.9,162.13,0.7363,AAPL,162.44,876833,2,4.63
1.4962,288.81,288.3,283.03,0.7248,MSFT,283.73,442657,3,2.56
1.1335,120.53,120.45,118.985,0.6957,EA,119.38,20709,0,-7.14
1.2117,130.34,130.31,128.8514,0.7219,JPM,129.66,82484,-3,-2.86
2.8149,103.89,103.73,101.05,0.6778,GOOGL,101.3,159926,-2,4.08
1.2647,103.42,103.29,101.95,0.6381,AMZN,102.16,587480,3,2.05
1.5004,90.92,90.65,89.75,1.4706,SONY,89.77,2084,1,0.0
1.4388,278.34,277.77,271.05,0.7758,NVDA,271.4,420630,3,4.13
2.4407,212.12,210.28,205.81,0.544,ENPH,206.02,37334,2,-1.0
1.4471,131.23,131.09,129.42,0.5809,IBM,129.47,51346,0,2.13
