open,high,percentchange,low,price,symbol,relvolume,watchers,hourchange,sentiment
7.21,7.9,3.2389,7.02,7.65,CVNA,0.4207,23300,0,0.39
96.66,98.75,1.2836,95.94,97.84,AMD,1.4973,455822,-1,-0.57
184.515,186.21,-2.1724,177.33,180.13,TSLA,0.6722,888627,0,0.65
124.08,124.52,-0.8099,122.93,123.69,IBM,2.0994,51324,0,1.4
113.65,114.0,-0.1585,112.98,113.35,EA,0.7406,20733,-1,-25.0
278.26,283.33,1.1694,276.3201,279.43,MSFT,1.7577,441749,-2,-1.45
128.38,128.45,-3.7782,125.46,125.81,JPM,2.2173,82043,4,3.88
449.81,450.16,-1.4551,441.305,443.6,NOC,0.8804,7998,0,3.41
200.56,201.9,-4.5479,195.4304,195.61,META,1.116,511611,-6,-1.49
5.47,5.54,0.1835,5.33,5.46,SOFI,0.6642,91541,-2,5.5
99.79,100.65,-1.0896,97.455,98.95,AMZN,0.8764,586545,0,2.06
4.3,4.34,-4.7836,4.1078,4.18,AMC,0.6185,411722,-1,-0.23
29.92,30.56,-1.226,29.44,29.81,INTC,1.0943,130795,0,-4.46
100.26,102.835,1.2959,100.1,101.62,GOOGL,1.2376,159517,3,0.71
156.08,156.74,-0.5454,154.28,155.0,AAPL,0.9896,875803,-4,4.31
87.25,87.47,0.1505,86.18,86.52,SONY,1.0052,2077,0,33.33
259.82,263.99,0.7204,256.68,257.25,NVDA,1.3828,419191,-4,2.34
200.7,200.7,-8.6822,181.55,183.64,ENPH,1.684,37125,2,-3.48
