percentchange,open,symbol,high,relvolume,price,low,watchers,hourchange,sentiment
1.6287,463.3,NOC,471.55,0.3945,469.24,462.72,8031,1,0.0
-0.5238,286.52,MSFT,288.27,0.6176,286.79,283.95,442828,0,-1.21
0.4472,275.09,NVDA,279.91,0.6914,279.0121,273.36,420821,2,0.05
0.519,208.84,META,213.32,0.4675,213.04,208.2001,512447,3,0.11
-3.6713,213.98,ENPH,215.8856,0.7314,202.56,201.6293,37369,-1,1.5
-6.1506,199.91,TSLA,202.6897,0.9215,194.7,192.2,890319,16,-1.76
0.6913,164.27,AAPL,166.1,0.6393,166.04,164.27,877070,11,0.48
0.7705,130.97,IBM,132.61,0.425,132.1,130.77,51351,0,2.08
-0.0691,129.91,JPM,131.43,0.5393,130.22,129.41,82511,1,4.35
0.7389,120.14,EA,121.65,0.5174,121.34,119.6,20708,0,0.0
0.4194,102.39,GOOGL,104.235,0.4614,104.165,102.11,160009,3,1.42
-0.8665,102.3,AMZN,103.29,0.5026,102.395,101.43,587675,1,1.17
-1.709,96.695,AMD,96.79,0.7135,96.335,94.81,456505,5,-1.17
0.6178,90.41,SONY,91.22,0.8824,91.21,90.455,2089,0,0.0
0.4438,32.94,INTC,33.56,0.9985,32.815,32.54,131140,-4,-0.19
-4.7497,9.64,CVNA,10.16,0.4749,9.325,9.085,23361,10,0.88
-0.9061,6.14,SOFI,6.275,0.7735,6.015,5.94,91846,3,-1.17
0.998,4.99,AMC,5.145,0.4696,5.06,4.94,412503,-1,0.2
