low,relvolume,percentchange,high,price,symbol,open,watchers,hourchange,sentiment
457.59,0.2079,0.1047,461.5,458.73,NOC,458.31,8016,0,-2.78
272.05,0.4684,-1.0237,276.13,273.5506,MSFT,275.79,442486,4,-2.62
258.5,0.5743,-1.2582,265.13,261.9719,NVDA,264.47,420423,3,-0.39
197.9,0.4365,-1.4839,200.43,199.83,META,200.15,512220,-3,-3.47
190.624,0.2834,-1.8281,196.515,192.2501,ENPH,196.0,37298,-1,-3.4
185.43,0.4613,-2.0958,192.35,187.79,TSLA,192.0,889585,16,-3.02
155.98,0.4444,-0.9888,158.1277,156.715,AAPL,157.97,876656,3,-2.51
128.8,0.3527,-0.1585,129.66,129.105,IBM,129.18,51344,0,3.35
127.75,0.613,0.1323,129.3417,128.66,JPM,128.71,82450,-1,-1.89
117.38,0.3805,-0.6237,118.4425,117.9,EA,118.085,20715,0,-1.01
99.7401,0.6039,-1.747,102.4,100.67,GOOGL,102.44,159817,0,-4.76
96.29,0.4026,-1.2291,98.44,96.835,AMZN,98.11,587260,7,-1.74
92.87,0.7788,-2.8258,96.93,93.88,AMD,96.77,456309,2,-1.22
85.745,0.5648,-0.6925,86.6682,86.04,SONY,86.11,2081,0,0.0
28.63,0.4979,-0.4284,29.23,29.055,INTC,29.075,130891,0,-0.81
7.22,0.1852,-2.9528,7.72,7.395,CVNA,7.57,23387,-7,-0.32
5.51,0.4595,-2.7344,5.79,5.6025,SOFI,5.74,91755,0,0.53
4.46,1.9379,11.211,5.5,5.0601,AMC,4.51,412081,107,-0.37
