open,relvolume,high,low,percentchange,price,symbol,watchers,hourchange,sentiment
127.37,0.4493,128.42,127.14,0.1642,128.08,EA,20704,-2,-10.0
265.655,0.5878,270.06,264.36,0.9119,270.02,NVDA,421747,7,-1.17
8.91,0.273,9.2192,8.68,1.0033,9.06,CVNA,23312,0,-1.03
5.24,0.3666,5.3,5.1301,1.5625,5.2,AMC,413211,-2,-1.77
90.23,0.7217,90.69,88.3,-2.049,89.87,AMD,456852,0,-2.94
5.89,0.6655,6.0,5.81,0.6757,5.96,SOFI,91921,1,0.21
219.79,0.4402,220.979,217.13,-1.1874,218.86,META,512927,3,0.34
139.95,1.0164,140.06,137.66,0.7929,139.83,JPM,82978,2,0.54
165.09,0.5412,165.39,164.03,0.0121,165.23,AAPL,878015,0,2.83
128.3,0.5124,128.72,126.8,-0.2497,127.82,IBM,51377,-1,-5.04
186.32,0.6825,189.69,182.7,1.1027,187.04,TSLA,891682,8,0.44
472.99,0.4391,477.68,471.38,0.4698,474.79,NOC,8041,0,6.35
104.658,0.816,106.155,104.52,-2.6637,105.97,GOOGL,160537,0,-11.86
31.95,0.5168,32.64,31.77,0.7839,32.14,INTC,131274,0,4.28
90.55,0.9083,91.23,90.35,0.3192,91.15,SONY,2088,0,0.0
289.93,0.6118,291.58,286.2,0.9296,288.8,MSFT,443563,4,2.73
215.0,1.7249,229.23,214.7801,7.6687,224.92,ENPH,37481,4,3.52
103.16,0.5299,103.73,101.59,0.2244,102.74,AMZN,588622,3,0.14
