price,symbol,percentchange,open,relvolume,low,high,watchers,hourchange,sentiment
5.74,SOFI,-2.5467,5.87,0.786,5.5801,5.87,91868,0,0.71
132.14,IBM,0.4103,131.37,0.4187,131.37,132.61,51366,0,0.0
32.83,INTC,-0.8157,32.795,0.7132,32.335,32.985,131190,1,-1.83
193.67,ENPH,-4.3794,200.0,0.8384,187.73,201.62,37380,0,0.7
101.1,AMZN,-2.7417,103.91,0.5813,100.7506,103.91,587868,5,-0.87
8.5,CVNA,-10.5263,9.38,0.3189,8.39,9.38,23330,-2,-1.85
126.15,EA,0.7266,125.24,0.7325,124.85,126.27,20706,0,0.0
163.76,AAPL,-1.129,164.74,0.6702,161.8,165.05,877253,2,-9.35
127.61,JPM,0.1491,126.8,0.609,126.46,128.15,82525,0,0.27
92.56,AMD,-3.4526,94.35,0.7872,91.36,94.5,456579,0,-1.63
470.91,NOC,0.6003,467.22,0.5536,467.22,473.6,8036,0,0.0
268.81,NVDA,-2.0836,268.29,0.9568,263.95,269.98,421054,4,-3.53
4.05,AMC,3.5806,4.07,0.7224,3.94,4.09,412883,0,-0.55
211.48,META,-1.5089,214.15,0.5446,209.95,215.19,512545,-1,-3.58
284.34,MSFT,-0.9889,285.85,0.5843,282.95,287.145,442946,-1,-4.56
89.65,SONY,-1.4943,89.9,0.7198,89.5312,90.02,2087,0,0.0
185.52,TSLA,-3.666,190.515,0.7518,183.76,190.68,890609,6,-1.41
104.47,GOOGL,-0.2387,105.78,0.6109,103.66,106.1,160103,-2,0.52
