high,percentchange,symbol,low,relvolume,price,open,watchers,hourchange,sentiment
473.3,0.6623,NOC,467.85,0.2952,471.2,467.22,8037,0,0.0
287.145,-1.1352,MSFT,282.95,0.4273,283.92,285.85,442935,0,-3.04
269.98,-3.0306,NVDA,263.95,0.715,266.21,268.29,421032,17,-4.14
215.19,-1.6184,META,209.95,0.402,211.245,214.15,512545,0,-1.58
201.62,-4.5719,ENPH,187.73,0.6542,193.28,200.0,37372,3,0.32
190.68,-3.1104,TSLA,183.76,0.5619,186.59,190.515,890582,4,-0.87
165.05,-1.6211,AAPL,161.8,0.4846,162.945,164.74,877243,8,-5.05
132.61,0.4597,IBM,131.47,0.259,132.205,131.37,51358,0,0.0
128.14,-0.0628,JPM,126.46,0.4037,127.34,126.8,82522,-2,8.7
126.245,0.6228,EA,124.85,0.4051,126.02,125.24,20706,-1,8.33
106.1,-0.5825,GOOGL,103.66,0.4658,104.11,105.78,160108,6,0.8
103.91,-2.3088,AMZN,100.7506,0.4176,101.55,103.91,587854,2,0.63
94.5,-3.8959,AMD,91.36,0.5743,92.135,94.35,456571,3,-3.4
90.02,-1.5163,SONY,89.53,0.4784,89.63,89.9,2087,0,0.0
32.985,-0.9728,INTC,32.335,0.4923,32.778,32.795,131190,-2,1.25
9.38,-8.5789,CVNA,8.3901,0.2449,8.685,9.38,23336,0,-0.89
5.87,-2.9711,SOFI,5.5801,0.6013,5.715,5.87,91868,-1,0.63
4.09,2.3018,AMC,3.94,0.5456,4.0,4.07,412895,1,-2.85
