price,high,symbol,open,low,relvolume,percentchange,watchers,hourchange,sentiment
458.21,462.27,NOC,459.38,457.495,0.22,-0.1721,8021,0,25.0
279.38,280.65,MSFT,278.96,278.41,0.4175,1.5078,442530,0,-1.71
268.4374,270.6697,NVDA,268.25,265.97,0.5324,1.6423,420470,0,-1.37
204.77,205.28,META,203.56,202.54,0.3642,2.0381,512243,1,0.12
204.0,204.0,ENPH,196.75,191.385,0.5537,5.4155,37308,1,-0.62
191.542,195.28,TSLA,193.13,189.44,0.5524,1.2432,889638,9,0.48
160.19,160.46,AAPL,159.37,159.35,0.436,1.6112,876718,11,-0.3
129.48,130.348,IBM,130.12,129.18,0.3118,0.1082,51343,-1,0.76
128.85,130.22,JPM,130.1,128.72,0.5312,-0.0233,82460,1,-0.93
118.96,118.97,EA,118.08,118.08,0.2326,0.7965,20708,-1,0.0
101.22,102.43,GOOGL,102.28,100.655,0.4489,0.1881,159836,0,4.31
99.8591,100.29,AMZN,98.69,98.5801,0.4624,2.6934,587352,2,1.22
95.6929,96.91,AMD,96.07,94.87,0.6314,1.1981,456332,0,-0.21
87.644,87.65,SONY,86.93,86.74,0.7142,2.1254,2084,0,0.0
31.32,31.46,INTC,29.77,29.789,1.1145,6.9307,130911,8,7.05
7.6776,7.7701,CVNA,7.47,7.37,0.1696,4.3152,23365,1,-7.63
5.785,5.9199,SOFI,5.69,5.65,0.5229,3.4884,91762,2,-1.08
4.9501,5.2084,AMC,5.14,4.83,0.6701,-3.8816,412480,-5,-0.59
