price,relvolume,symbol,open,percentchange,low,high,watchers,hourchange,sentiment
128.08,0.4493,EA,127.37,0.1642,127.14,128.42,20706,0,-10.0
270.02,0.5878,NVDA,265.655,0.9119,264.36,270.06,421740,3,-1.27
9.06,0.273,CVNA,8.91,1.0033,8.68,9.2192,23312,1,-0.94
5.2,0.3666,AMC,5.24,1.5625,5.1301,5.3,413213,-1,-1.66
89.87,0.7217,AMD,90.23,-2.049,88.3,90.69,456852,2,-3.06
5.96,0.6655,SOFI,5.89,0.6757,5.81,6.0,91920,0,0.18
218.86,0.4402,META,219.79,-1.1874,217.13,220.979,512924,-1,0.31
139.83,1.0164,JPM,139.95,0.7929,137.66,140.06,82976,1,0.48
165.23,0.5412,AAPL,165.09,0.0121,164.03,165.39,878015,5,2.53
127.82,0.5124,IBM,128.3,-0.2497,126.8,128.72,51378,0,-5.04
187.04,0.6825,TSLA,186.32,1.1027,182.7,189.69,891674,8,0.35
474.79,0.4391,NOC,472.99,0.4698,471.38,477.68,8041,0,3.57
105.97,0.816,GOOGL,104.658,-2.6637,104.52,106.155,160537,5,-12.05
32.14,0.5168,INTC,31.95,0.7839,31.77,32.64,131274,0,4.41
91.15,0.9083,SONY,90.55,0.3192,90.35,91.23,2088,0,0.0
288.8,0.6118,MSFT,289.93,0.9296,286.2,291.58,443559,5,2.92
224.92,1.7249,ENPH,215.0,7.6687,214.7801,229.23,37477,1,3.52
102.74,0.5299,AMZN,103.16,0.2244,101.59,103.73,588619,6,-0.28
