relvolume,percentchange,low,high,open,price,symbol,watchers,hourchange,sentiment
0.3261,-1.3031,469.48,476.01,476.12,470.33,NOC,8039,0,5.0
0.629,-1.8625,281.64,285.87,285.75,284.0,MSFT,443211,6,-2.33
0.4654,-0.7361,271.26,277.89,277.235,273.76,NVDA,421353,0,0.04
0.3881,-0.0023,213.83,216.02,215.48,214.745,META,512715,-2,-1.26
0.2754,0.9755,193.14,199.04,195.9,197.71,ENPH,37410,0,-0.72
0.5739,1.9728,185.65,189.19,186.69,188.15,TSLA,891114,0,0.22
0.4762,-0.2006,160.51,162.36,162.35,161.705,AAPL,877573,1,-4.38
0.3347,0.0248,130.18,131.095,130.58,131.0625,IBM,51364,0,-1.19
0.5044,0.477,127.54,128.93,128.3,128.5,JPM,82602,0,-0.76
0.3278,0.3264,124.74,126.25,125.13,126.03,EA,20704,0,-1.14
0.4704,-0.2818,104.68,106.73,106.55,106.14,GOOGL,160313,2,0.08
0.6791,-1.6835,99.01,100.99,100.8,100.45,AMZN,588154,0,-5.74
0.6686,-1.132,92.7,96.065,96.06,94.3992,AMD,456714,2,4.15
0.3565,0.7739,88.98,89.48,89.24,89.195,SONY,2089,0,0.0
0.3542,0.0308,32.45,33.11,32.66,32.53,INTC,131223,2,-8.82
0.7018,5.7197,9.6,10.8485,9.79,9.8425,CVNA,23332,0,13.79
0.509,0.7614,5.86,6.0095,5.91,5.955,SOFI,91914,-2,2.52
0.7782,6.584,5.25,5.63,5.45,5.585,AMC,413156,1,4.16
