symbol,high,low,price,relvolume,percentchange,open,watchers,hourchange,sentiment
META,215.66,210.66,214.75,0.4571,-0.6247,214.71,512691,0,-1.58
EA,125.8,123.74,125.62,0.3892,0.3675,124.79,20703,0,4.44
INTC,32.76,32.2,32.52,0.4854,-0.8839,32.6,131212,0,-1.66
IBM,131.08,129.24,131.03,0.3796,0.4061,129.83,51364,0,-1.29
CVNA,9.35,8.62,9.31,0.3262,3.3296,9.0,23315,0,3.76
MSFT,289.6,284.72,289.39,0.6369,-0.7579,289.208,443168,-2,-1.96
TSLA,185.0994,176.11,184.51,0.8207,-0.2972,179.94,891052,7,-0.34
AMZN,102.2,99.57,102.17,0.5167,0.1078,100.96,588100,0,-1.28
ENPH,195.9,188.51,195.8,0.4136,2.5131,189.09,37408,1,-1.82
AMC,5.37,4.74,5.24,1.2692,6.9388,4.77,413139,3,1.13
NOC,478.17,470.98,476.54,0.4565,1.3074,470.98,8041,0,-16.67
AMD,95.79,91.02,95.48,0.7903,3.2551,91.32,456699,0,8.86
NVDA,276.2099,266.69,275.79,0.7128,2.0047,268.23,421316,5,2.08
SOFI,5.92,5.66,5.91,0.5343,2.7826,5.69,91908,-1,0.55
AAPL,162.03,160.08,162.03,0.6369,-1.5972,161.42,877532,3,-4.57
JPM,128.23,126.22,127.89,0.5624,0.3295,126.54,82595,0,-2.86
GOOGL,107.59,105.12,106.44,0.6059,-1.8262,106.98,160302,1,0.22
SONY,88.52,87.73,88.51,0.4657,0.3856,87.76,2088,0,0.0
