symbol,high,low,open,price,relvolume,percentchange,watchers,hourchange,sentiment
NOC,478.4,472.07,478.4,472.91,0.3934,-0.872,8043,-1,14.62
MSFT,289.03,285.08,285.25,285.55,0.5572,-1.0054,443677,0,1.1
NVDA,280.3,270.12,276.71,270.45,0.7471,-3.1721,421993,4,4.33
ENPH,226.26,219.31,220.5,224.28,0.5146,0.0045,37475,2,0.81
META,216.75,213.07,213.48,213.33,0.4028,-1.0987,512981,0,-0.52
AAPL,167.87,165.56,166.09,166.0,0.6354,-0.9724,878264,3,2.91
TSLA,169.55,160.56,166.165,161.93,1.2164,-10.3328,892406,26,-10.41
JPM,141.4299,140.17,139.91,140.55,0.5217,-0.4744,82976,0,0.34
EA,129.56,128.15,128.28,128.75,0.4378,0.4447,20703,0,0.0
IBM,130.98,125.84,130.15,126.23,1.5995,-0.0712,51491,0,-1.32
GOOGL,106.25,103.8684,103.91,105.09,0.5316,0.8735,160581,7,-1.86
AMZN,105.24,103.21,103.53,103.66,0.7444,-0.6136,588817,7,-0.15
SONY,92.275,90.915,90.97,91.325,0.614,0.3902,2091,0,0.0
AMD,91.575,88.75,88.825,89.9,0.6771,-0.0445,456930,3,-1.3
INTC,31.25,30.71,30.76,30.81,0.4566,-1.0915,131297,-1,2.6
CVNA,8.51,7.91,8.3,7.99,0.3379,-7.416,23283,1,-1.84
SOFI,6.045,5.88,5.9,5.9,0.4622,-2.9605,91960,0,0.55
AMC,5.02,4.89,5.0,4.96,0.2237,-2.7451,413185,3,0.9
