high,open,low,percentchange,relvolume,price,symbol,watchers,hourchange,sentiment
482.74,480.46,476.84,-0.5089,0.2704,477.03,NOC,8043,0,7.5
289.05,285.99,284.54,0.111,0.4061,288.69,MSFT,443641,0,4.6
278.88,273.61,272.32,0.6054,0.5573,278.345,NVDA,421921,8,1.56
228.49,225.06,222.3,-1.4416,0.4197,224.585,ENPH,37476,-1,-1.38
217.33,213.472,212.94,-0.6379,0.406,216.5,META,512960,-3,2.17
183.2499,179.1,177.65,-0.8355,0.522,182.77,TSLA,891958,40,-0.65
168.16,165.8,165.54,0.8681,0.5315,167.9152,AAPL,878169,19,3.05
141.5,141.23,140.41,-0.2511,0.4453,141.045,JPM,82989,-4,-0.87
128.9,128.58,128.08,-0.3254,0.2786,128.6201,EA,20704,1,10.0
126.98,126.5,125.3,-1.2678,0.6252,126.16,IBM,51403,0,0.0
105.12,101.58,101.39,2.4976,0.7054,104.855,AMZN,588728,18,1.49
104.98,103.58,103.07,0.0574,0.3734,104.56,GOOGL,160554,0,-1.32
91.12,91.0,90.73,-0.334,0.3081,91.005,SONY,2086,0,0.0
90.54,88.51,88.22,0.1448,0.4649,89.91,AMD,456897,4,0.99
31.52,31.1,31.0828,-1.8379,0.3104,31.245,INTC,131283,0,1.78
8.77,8.6,8.3,-1.817,0.2458,8.6401,CVNA,23285,-5,-4.31
6.1,5.9,5.87,1.5886,0.409,6.075,SOFI,91947,25,0.16
5.17,4.95,4.92,0.495,0.2608,5.075,AMC,413181,-2,-1.84
