high,low,percentchange,price,open,relvolume,symbol,watchers,hourchange,sentiment
130.87,128.18,-1.4415,128.54,130.4,0.6074,IBM,51367,0,-2.42
287.01,281.96,0.2334,283.49,284.79,0.7301,MSFT,443294,0,-1.47
94.995,91.74,-1.8079,92.33,94.97,0.8136,AMD,456745,-1,6.35
127.1812,125.82,0.3581,126.13,126.28,0.4105,EA,20702,0,-16.67
10.32,8.79,-5.3279,9.24,9.79,0.5844,CVNA,23330,0,6.59
162.06,159.78,-0.4353,160.1,161.22,0.6508,AAPL,877684,7,0.82
5.74,5.34,-1.6575,5.34,5.62,0.827,AMC,413213,2,0.38
90.4,89.29,0.5961,89.44,90.0,0.4882,SONY,2089,0,0.0
130.43,128.0603,-0.0156,128.5,129.18,0.66,JPM,82616,0,-0.52
191.58,180.31,-3.346,180.54,190.74,0.8639,TSLA,891217,7,-0.13
274.63,264.4786,-2.4808,264.95,273.7,0.8408,NVDA,421429,0,1.09
216.84,212.584,0.0701,214.0,214.835,0.5478,META,512758,1,-1.25
201.26,195.81,-0.4317,196.03,199.9,0.4414,ENPH,37409,0,1.68
100.51,97.705,-2.0917,97.83,100.4,0.7773,AMZN,588258,4,-0.77
106.75,104.34,-0.6739,104.64,106.58,0.5099,GOOGL,160343,4,-0.19
32.89,31.96,-1.0201,32.02,32.77,0.5877,INTC,131234,0,-6.8
6.05,5.67,-2.5126,5.82,6.06,0.9555,SOFI,91918,-1,-0.21
474.7299,466.03,0.961,472.77,467.43,0.4255,NOC,8038,0,0.0
