percentchange,symbol,low,relvolume,high,open,price,watchers,hourchange,sentiment
2.1531,AMC,4.14,0.4546,4.38,4.25,4.27,411733,-6,-0.65
1.7321,TSLA,176.35,0.6925,186.44,178.08,183.25,888858,1,-0.74
-0.3936,GOOGL,99.88,0.7301,101.75,100.12,101.22,159582,7,-0.4
2.196,SONY,87.33,1.1668,89.16,87.52,88.42,2079,0,0.0
1.5484,AAPL,154.15,0.8489,157.81,155.07,157.4,876018,5,-0.47
4.8301,ENPH,185.2,1.1646,196.88,189.59,192.51,37206,3,0.99
-2.1805,INTC,28.63,0.7742,29.9,29.8,29.16,130821,-2,-0.38
1.8191,IBM,124.19,0.7973,126.1508,124.31,125.94,51325,1,1.06
-4.3956,SOFI,5.19,0.8466,5.54,5.47,5.22,91582,-1,1.06
0.6803,NVDA,251.3,0.819,260.24,256.15,259.0,419424,7,0.91
0.15,EA,113.01,0.5323,114.28,113.01,113.52,20730,0,33.33
1.1247,META,193.64,0.723,199.36,198.48,197.81,511735,0,0.6
-2.5767,MSFT,269.85,1.2161,277.48,276.98,272.23,441936,6,-0.02
-1.0527,AMD,92.9,1.5349,96.94,96.3,96.81,455939,3,-0.85
-7.5817,CVNA,6.87,0.3366,7.82,7.43,7.07,23279,0,-1.45
-1.2532,AMZN,95.7,0.7742,98.48,98.41,97.71,586756,0,0.39
1.0571,JPM,126.01,1.609,129.47,126.99,127.14,82206,1,1.04
1.2759,NOC,445.005,0.4475,452.31,445.27,449.26,8002,0,9.09
