open,high,price,low,percentchange,symbol,relvolume,watchers,hourchange,sentiment
200.0,201.62,193.67,187.73,-4.3794,ENPH,0.8384,37380,1,0.91
103.91,103.91,101.1,100.7506,-2.7417,AMZN,0.5813,587863,2,-0.27
9.38,9.38,8.5,8.39,-10.5263,CVNA,0.3189,23332,1,-2.07
164.74,165.05,163.76,161.8,-1.129,AAPL,0.6702,877251,-1,-9.65
125.24,126.27,126.15,124.85,0.7266,EA,0.7325,20706,0,0.0
94.35,94.5,92.56,91.36,-3.4526,AMD,0.7872,456579,5,-1.91
126.8,128.15,127.61,126.46,0.1491,JPM,0.609,82525,-1,0.4
467.22,473.6,470.91,467.22,0.6003,NOC,0.5536,8036,0,0.0
4.07,4.09,4.05,3.94,3.5806,AMC,0.7224,412883,-7,-0.81
268.29,269.98,268.81,263.95,-2.0836,NVDA,0.9568,421050,-1,-4.0
285.85,287.145,284.34,282.95,-0.9889,MSFT,0.5843,442947,4,-4.68
214.15,215.19,211.48,209.95,-1.5089,META,0.5446,512546,-3,-3.86
190.515,190.68,185.52,183.76,-3.666,TSLA,0.7518,890603,3,-1.35
89.9,90.02,89.65,89.5312,-1.4943,SONY,0.7198,2087,0,0.0
105.78,106.1,104.47,103.66,-0.2387,GOOGL,0.6109,160105,-4,0.33
5.87,5.87,5.74,5.5801,-2.5467,SOFI,0.786,91868,-1,0.89
131.37,132.61,132.14,131.37,0.4103,IBM,0.4187,51366,1,0.0
32.795,32.985,32.83,32.335,-0.8157,INTC,0.7132,131189,0,-0.93
