relvolume,price,symbol,open,percentchange,high,low,watchers,hourchange,sentiment
0.5878,270.02,NVDA,265.655,0.9119,270.06,264.36,421728,-1,-1.66
1.0164,139.83,JPM,139.95,0.7929,140.06,137.66,82971,3,0.57
0.6655,5.96,SOFI,5.89,0.6757,6.0,5.81,91912,-2,-0.12
0.273,9.06,CVNA,8.91,1.0033,9.2192,8.68,23314,1,-1.38
0.7217,89.87,AMD,90.23,-2.049,90.69,88.3,456844,-1,-2.47
0.3666,5.2,AMC,5.24,1.5625,5.3,5.1301,413208,0,-1.15
0.5412,165.23,AAPL,165.09,0.0121,165.39,164.03,878002,-3,1.8
0.4402,218.86,META,219.79,-1.1874,220.979,217.13,512900,-2,0.22
0.5124,127.82,IBM,128.3,-0.2497,128.72,126.8,51378,1,-3.45
0.816,105.97,GOOGL,104.658,-2.6637,106.155,104.52,160514,-3,-11.83
0.6825,187.04,TSLA,186.32,1.1027,189.69,182.7,891645,7,0.2
0.4391,474.79,NOC,472.99,0.4698,477.68,471.38,8041,1,8.33
0.5168,32.14,INTC,31.95,0.7839,32.64,31.77,131269,1,3.52
0.9083,91.15,SONY,90.55,0.3192,91.23,90.35,2088,0,0.0
1.7249,224.92,ENPH,215.0,7.6687,229.23,214.7801,37467,2,3.39
0.5299,102.74,AMZN,103.16,0.2244,103.73,101.59,588603,0,-0.62
0.4493,128.08,EA,127.37,0.1642,128.42,127.14,20707,1,-10.0
0.6118,288.8,MSFT,289.93,0.9296,291.58,286.2,443539,0,2.08
