percentchange,price,high,relvolume,open,low,symbol,watchers,hourchange,sentiment
-0.1208,264.63,268.869,0.6485,267.34,263.29,NVDA,421512,6,-2.79
2.2472,5.46,5.66,0.5092,5.48,5.39,AMC,413216,-2,-3.23
3.4104,165.56,165.8,0.8567,161.63,161.44,AAPL,877743,-6,4.18
-0.4979,127.9,128.39,0.8901,128.01,126.01,IBM,51364,1,5.98
4.6714,102.4,102.56,0.9312,98.95,98.73,AMZN,588377,0,5.12
2.2399,289.84,289.9,0.602,283.59,283.17,MSFT,443350,0,0.83
1.4069,9.37,9.76,0.3162,9.27,9.201,CVNA,23338,5,0.6
0.3813,128.99,129.035,0.7779,128.46,126.84,JPM,82712,5,2.71
0.6873,5.86,5.98,0.5437,5.91,5.825,SOFI,91911,-1,1.85
0.294,474.16,476.065,0.3826,472.0,469.78,NOC,8038,0,-13.33
0.3435,32.13,32.4252,0.474,31.82,31.65,INTC,131232,0,4.5
2.6663,107.43,107.49,0.5101,105.84,105.9,GOOGL,160358,0,-0.74
1.174,90.49,90.83,0.7734,90.1,90.0,SONY,2088,0,0.0
1.7046,128.28,128.72,0.4634,126.58,126.58,EA,20703,0,6.67
2.9673,220.35,221.15,0.6771,215.73,215.82,META,512793,0,2.93
2.9689,185.9,186.5,0.6485,182.955,180.94,TSLA,891314,-6,0.99
6.9683,209.69,211.55,0.9909,200.01,198.52,ENPH,37423,4,-4.7
-0.2599,92.09,93.16,0.6105,92.79,91.83,AMD,456760,-1,0.8
