symbol,relvolume,percentchange,low,price,open,high,watchers,hourchange,sentiment
MSFT,0.4744,0.0277,284.54,288.45,285.99,289.05,443657,1,5.45
ENPH,0.5032,-1.5798,222.3,224.27,225.06,228.49,37473,1,-0.57
TSLA,0.6315,-2.0183,177.65,180.59,179.1,183.5,892165,24,-4.74
SOFI,0.4953,1.6722,5.87,6.08,5.9,6.1,91959,0,1.92
INTC,0.4343,-2.1363,31.0828,31.15,31.1,31.52,131285,4,1.89
CVNA,0.2952,-1.9318,8.3,8.63,8.6,8.84,23286,5,-1.5
SONY,0.5063,-0.3724,90.73,90.97,91.0,91.12,2089,0,0.0
AMC,0.3154,0.9901,4.92,5.1,4.95,5.17,413188,0,-0.52
AAPL,0.6395,0.6968,165.54,167.63,165.8,168.16,878196,0,5.73
NVDA,0.6812,0.9542,272.32,279.31,273.61,280.0,421930,5,5.4
NOC,0.4242,-0.5006,476.24,477.07,480.46,482.74,8043,0,3.33
AMZN,0.8364,1.955,101.39,104.3,101.58,105.12,588753,0,2.43
AMD,0.5543,0.1782,88.22,89.94,88.51,90.54,456906,2,0.16
GOOGL,0.4564,-0.3062,103.07,104.18,103.58,104.98,160563,0,0.06
IBM,0.9493,-1.1426,125.3,126.32,126.5,126.98,51454,5,-3.05
META,0.4728,-1.0051,212.94,215.7,213.472,217.33,512956,3,3.52
EA,0.3668,-0.6665,128.075,128.18,128.58,128.9,20704,0,10.0
JPM,0.5763,-0.1273,140.41,141.22,141.23,141.5,82986,0,0.49
