relvolume,open,high,price,symbol,low,percentchange,watchers,hourchange,sentiment
0.6103,102.75,104.2,103.95,AMZN,102.11,1.5038,587808,6,2.07
0.686,279.66,280.0,274.53,NVDA,273.08,-1.8309,420956,5,0.16
0.5141,104.33,105.58,104.72,GOOGL,104.04,0.345,160050,0,3.96
2.4701,4.08,4.45,3.91,AMC,3.88,-23.4834,412848,5,-5.39
0.3915,468.73,471.94,468.1,NOC,465.0,-0.2323,8036,2,0.0
1.0756,121.43,125.47,125.24,EA,121.23,3.2056,20708,1,0.0
0.5769,213.39,216.24,214.72,META,212.54,0.7744,512519,-3,4.64
0.3434,9.44,9.72,9.5,CVNA,8.93,2.2605,23341,-2,-2.4
0.711,197.32,198.7446,192.58,TSLA,190.32,-1.1244,890506,7,0.4
0.6455,97.038,97.27,95.87,AMD,95.21,-0.7146,456545,2,-2.4
0.5043,131.99,132.1499,131.6,IBM,130.89,-0.3483,51358,0,0.0
0.9783,90.78,91.145,91.01,SONY,90.36,-0.3504,2087,0,0.0
0.4624,202.89,203.2,202.54,ENPH,198.65,-0.0296,37367,-1,0.49
0.4678,6.1,6.095,5.89,SOFI,5.835,-2.3217,91861,7,-0.56
1.059,32.85,33.84,33.1,INTC,32.85,0.6385,131187,3,2.73
0.702,130.5,130.59,128.42,JPM,127.41,-1.3368,82526,-2,7.52
0.5431,166.595,166.83,165.63,AAPL,165.11,-0.325,877179,3,1.04
0.6652,287.23,290.4499,287.18,MSFT,285.67,-0.0174,442893,6,-0.71
