relvolume,open,price,high,percentchange,symbol,low,watchers,hourchange,sentiment
0.5323,113.01,113.52,114.28,0.15,EA,113.01,20730,-1,33.33
0.3366,7.43,7.07,7.81,-7.5817,CVNA,6.87,23278,-1,-1.3
1.5349,96.3,96.81,96.94,-1.0527,AMD,92.9,455940,1,-0.59
0.7742,98.41,97.71,98.48,-1.2532,AMZN,95.7,586768,1,0.31
1.2161,276.98,272.23,277.48,-2.5767,MSFT,269.85,441948,5,-0.14
1.609,126.99,127.14,129.46,1.0571,JPM,126.01,82211,1,-0.26
0.4546,4.25,4.27,4.38,2.1531,AMC,4.14,411737,7,-0.44
0.6925,178.08,183.25,186.44,1.7321,TSLA,176.35,888860,0,-0.2
0.4475,445.27,449.26,452.2,1.2759,NOC,445.36,8005,2,8.33
0.7301,100.12,101.22,101.75,-0.3936,GOOGL,99.88,159584,-1,-0.95
1.1668,87.52,88.42,89.16,2.196,SONY,87.33,2079,0,0.0
1.1646,189.59,192.51,196.88,4.8301,ENPH,185.2,37212,0,1.82
0.8489,155.07,157.4,157.81,1.5484,AAPL,154.15,876039,2,0.0
0.7742,29.8,29.16,29.9,-2.1805,INTC,28.63,130826,0,-0.69
0.7973,124.31,125.94,126.1508,1.8191,IBM,124.19,51326,-1,1.06
0.819,256.15,259.0,260.24,0.6803,NVDA,251.3,419438,1,0.64
0.723,198.48,197.81,199.36,1.1247,META,193.64,511744,0,1.39
0.8466,5.47,5.22,5.54,-4.3956,SOFI,5.19,91593,1,1.27
