open,low,high,relvolume,percentchange,price,symbol,watchers,hourchange,sentiment
470.55,468.94,471.98,0.1945,-0.9701,469.56,NOC,8041,-1,8.57
287.0,283.69,288.48,0.409,-1.6837,284.96,MSFT,443389,4,0.78
265.04,262.2,268.83,0.5495,0.0983,264.89,NVDA,421567,8,-2.51
217.88,217.56,222.11,0.479,-0.413,219.44,META,512835,5,-0.36
209.77,204.67,214.57,0.5034,-2.1627,205.155,ENPH,37427,-6,-8.23
183.95,182.01,186.28,0.4131,-1.135,183.79,TSLA,891401,8,-0.52
164.59,163.83,166.32,0.4561,-0.6735,164.445,AAPL,877843,4,2.46
135.15,134.95,139.12,2.4962,7.1362,138.195,JPM,82931,-4,12.42
128.46,127.31,129.84,0.4047,-0.2502,127.58,IBM,51370,0,1.0
127.98,127.45,128.53,0.2459,-0.5535,127.57,EA,20706,1,16.67
106.89,106.88,108.09,0.3571,0.4421,107.905,GOOGL,160394,1,-1.93
102.07,101.11,103.2013,0.5054,-0.542,101.845,AMZN,588462,10,1.78
91.82,90.5,92.97,0.4378,-0.8253,91.33,AMD,456769,2,0.31
90.85,90.412,91.44,0.4782,0.1381,90.615,SONY,2088,0,0.0
32.0,31.69,32.235,0.2927,-1.1516,31.76,INTC,131235,1,-1.89
9.47,8.68,9.798,0.2651,-3.842,9.01,CVNA,23333,-3,-0.22
5.99,5.77,6.03,0.4884,-0.4266,5.835,SOFI,91914,-1,0.44
5.74,5.22,5.75,0.46,-4.1209,5.235,AMC,413226,0,-1.16
