relvolume,open,high,low,price,symbol,percentchange,watchers,hourchange,sentiment
1.4706,89.77,90.92,89.75,90.65,SONY,1.5004,2084,0,0.0
0.7758,271.4,278.34,271.05,277.77,NVDA,1.4388,420629,2,4.42
0.544,206.02,212.12,205.81,210.28,ENPH,2.4407,37334,-1,0.66
0.5809,129.47,131.23,129.42,131.09,IBM,1.4471,51344,0,2.22
0.4159,462.98,463.32,459.45,461.72,NOC,0.1605,8029,0,0.0
0.4763,4.91,5.055,4.87,5.01,AMC,0.8048,412474,2,0.13
1.0566,5.75,6.17,5.67,6.07,SOFI,6.1189,91786,5,1.92
0.653,207.24,212.17,206.77,211.94,META,1.9727,512334,1,4.07
1.0575,31.8,32.8998,31.74,32.67,INTC,1.8074,131091,0,0.77
0.8317,96.34,98.36,95.27,98.01,AMD,0.1328,456389,1,3.61
0.7363,162.44,165.0,162.13,164.9,AAPL,1.5644,876840,1,4.9
0.9318,197.53,207.79,197.23,207.46,TSLA,6.2372,889885,3,8.25
0.475,8.9,9.79,8.77,9.79,CVNA,10.872,23371,0,6.68
0.7248,283.73,288.81,283.03,288.3,MSFT,1.4962,442664,2,2.16
0.6957,119.38,120.53,118.985,120.45,EA,1.1335,20709,0,0.0
0.7219,129.66,130.34,128.8514,130.31,JPM,1.2117,82481,0,-2.92
0.6778,101.3,103.89,101.05,103.73,GOOGL,2.8149,159929,4,2.16
0.6381,102.16,103.42,101.95,103.29,AMZN,1.2647,587497,0,3.51
