relvolume,open,price,low,symbol,high,percentchange,watchers,hourchange,sentiment
0.2884,467.43,473.0907,466.03,NOC,474.7299,1.0295,8038,-1,0.0
0.5271,284.79,285.03,281.96,MSFT,287.01,0.7779,443288,5,-1.4
0.6577,273.7,267.325,265.17,NVDA,274.63,-1.6066,421415,3,4.54
0.4146,214.835,215.57,212.584,META,216.84,0.8043,512748,-4,-1.46
0.323,199.9,198.49,196.78,ENPH,201.26,0.8178,37404,0,1.84
0.6985,190.74,181.52,181.33,TSLA,191.58,-2.8214,891202,-3,0.82
0.4696,161.22,160.8807,160.265,AAPL,162.06,0.0502,877675,0,1.49
0.3698,130.4,129.26,129.1177,IBM,130.87,-0.8894,51367,-2,-1.59
0.4831,129.18,128.98,128.0603,JPM,130.43,0.3579,82616,-5,4.11
0.2506,126.28,126.74,125.82,EA,127.1812,0.8434,20701,-1,-29.17
0.3663,106.58,104.6091,104.38,GOOGL,106.75,-0.7033,160344,0,-0.37
0.5758,100.4,98.59,98.41,AMZN,100.51,-1.3311,588243,0,-2.57
0.6608,94.97,92.86,91.74,AMD,94.995,-1.2443,456742,1,5.31
0.2864,90.0,89.69,89.37,SONY,90.4,0.8773,2089,0,0.0
0.3889,32.77,32.07,31.96,INTC,32.89,-0.8655,131237,0,-3.12
0.4906,9.79,9.35,8.79,CVNA,10.32,-4.2008,23331,0,7.45
0.7928,6.06,5.852,5.67,SOFI,6.05,-1.9765,91920,2,1.13
0.5911,5.62,5.63,5.51,AMC,5.74,3.6832,413215,8,1.13
