percentchange,price,relvolume,low,symbol,high,open,watchers,hourchange,sentiment
0.7505,166.47,0.6295,165.65,AAPL,167.41,166.1,878081,-2,3.59
-1.3872,104.5,0.5757,104.07,GOOGL,106.515,106.49,160551,3,-2.13
-2.8698,8.8,0.2683,8.76,CVNA,9.285,9.22,23300,-2,-3.28
-1.4596,184.31,0.5393,183.5887,TSLA,187.69,187.15,891791,13,-0.64
-0.4432,217.89,0.3488,216.215,META,220.44,219.91,512946,7,0.39
1.1228,141.4,0.8356,139.03,JPM,141.78,140.27,82989,-2,-0.05
0.7495,129.04,0.5166,127.82,EA,129.38,128.81,20704,0,0.0
-0.1489,288.37,0.5165,287.02,MSFT,291.6,291.57,443618,6,3.46
0.9857,479.47,0.6483,475.74,NOC,483.4,475.74,8043,0,-8.33
1.3116,227.87,0.8254,222.23,ENPH,231.31,225.43,37486,-1,-1.91
-0.0313,127.78,0.4769,127.35,IBM,128.68,128.14,51381,0,-0.57
-0.4283,102.3,0.555,101.52,AMZN,104.2,103.95,588650,1,1.26
0.3356,5.98,0.4567,5.895,SOFI,6.02,6.0,91919,5,-1.03
0.1755,91.31,0.8545,90.99,SONY,91.86,91.57,2086,0,0.0
2.4628,276.67,1.1798,273.57,NVDA,281.0802,275.335,421847,0,0.04
-0.9645,31.83,0.4755,31.785,INTC,32.46,32.43,131272,0,0.5
-0.1001,89.78,0.6994,89.33,AMD,92.16,91.61,456870,1,2.46
-2.8846,5.05,0.3403,4.98,AMC,5.212,5.23,413188,2,-2.3
