open,symbol,low,price,high,relvolume,percentchange,watchers,hourchange,sentiment
113.01,EA,113.01,113.52,114.28,0.5323,0.15,20731,0,33.33
7.43,CVNA,6.87,7.07,7.81,0.3366,-7.5817,23279,0,-1.75
96.3,AMD,92.9,96.81,96.94,1.5349,-1.0527,455939,0,-0.57
98.41,AMZN,95.7,97.71,98.48,0.7742,-1.2532,586767,-3,0.6
276.98,MSFT,269.85,272.23,277.48,1.2161,-2.5767,441943,0,-0.11
126.99,JPM,126.01,127.14,129.46,1.609,1.0571,82210,0,0.24
4.25,AMC,4.14,4.27,4.38,0.4546,2.1531,411730,0,-0.49
178.08,TSLA,176.35,183.25,186.44,0.6925,1.7321,888860,0,-0.22
445.27,NOC,445.36,449.26,452.2,0.4475,1.2759,8003,0,8.33
100.12,GOOGL,99.88,101.22,101.75,0.7301,-0.3936,159585,0,-0.9
87.52,SONY,87.33,88.42,89.16,1.1668,2.196,2079,0,0.0
189.59,ENPH,185.2,192.51,196.88,1.1646,4.8301,37212,-1,1.63
155.07,AAPL,154.15,157.4,157.81,0.8489,1.5484,876037,2,0.17
29.8,INTC,28.63,29.16,29.9,0.7742,-2.1805,130826,0,-1.34
124.31,IBM,124.19,125.94,126.1508,0.7973,1.8191,51327,0,1.06
256.15,NVDA,251.3,259.0,260.24,0.819,0.6803,419437,3,0.66
198.48,META,193.64,197.81,199.36,0.723,1.1247,511744,0,1.27
5.47,SOFI,5.19,5.22,5.54,0.8466,-4.3956,91592,0,1.15
