symbol,relvolume,percentchange,open,price,low,high,watchers,hourchange,sentiment
NVDA,0.6812,0.9542,273.61,279.31,272.32,280.0,421921,-2,4.84
NOC,0.4242,-0.5006,480.46,477.07,476.2,482.7909,8043,0,6.06
AMD,0.5543,0.1782,88.51,89.94,88.22,90.54,456906,0,0.56
AMZN,0.8364,1.955,101.58,104.3,101.39,105.12,588754,3,2.58
GOOGL,0.4564,-0.3062,103.58,104.18,103.07,104.98,160559,0,-0.2
IBM,0.9493,-1.1426,126.5,126.32,125.3,126.98,51443,9,0.13
META,0.4728,-1.0051,213.472,215.7,212.94,217.33,512954,-2,3.39
JPM,0.5763,-0.1273,141.23,141.22,140.4,141.5,82988,-2,-0.16
SOFI,0.4953,1.6722,5.9,6.08,5.87,6.1,91972,-1,1.26
ENPH,0.5032,-1.5798,225.06,224.27,222.3,228.49,37474,-1,-0.61
EA,0.3668,-0.6665,128.58,128.18,128.075,128.9,20704,0,10.0
TSLA,0.6315,-2.0183,179.1,180.59,177.65,183.5,892091,22,-1.52
MSFT,0.4744,0.0277,285.99,288.45,284.54,289.05,443653,-3,6.78
CVNA,0.2952,-1.9318,8.6,8.63,8.295,8.8426,23282,-2,-2.34
SONY,0.5063,-0.3724,91.0,90.97,90.73,91.12,2089,2,0.0
AAPL,0.6395,0.6968,165.8,167.63,165.54,168.16,878191,4,6.18
INTC,0.4343,-2.1363,31.1,31.15,31.0828,31.52,131281,0,1.89
AMC,0.3154,0.9901,4.95,5.1,4.92,5.17,413186,3,-0.99
