high,price,relvolume,open,percentchange,low,symbol,watchers,hourchange,sentiment
463.4,460.715,0.2895,462.98,-0.0575,459.45,NOC,8026,0,0.0
288.76,288.67,0.589,283.73,1.6265,283.03,MSFT,442654,1,2.66
278.34,277.23,0.6931,271.4,1.2416,271.05,NVDA,420627,2,5.8
211.17,211.11,0.5559,207.24,1.5733,206.77,META,512341,0,5.44
212.12,209.66,0.453,206.02,2.1386,205.81,ENPH,37332,-2,-0.32
207.79,207.06,0.8562,197.53,6.0324,197.23,TSLA,889859,11,8.6
164.94,164.885,0.5606,162.44,1.5552,162.13,AAPL,876831,7,5.26
131.09,131.06,0.3892,129.47,1.4239,129.42,IBM,51346,0,0.0
130.07,129.975,0.5876,129.66,0.9515,128.8514,JPM,82487,-1,-2.57
120.32,120.28,0.5448,119.38,0.9908,118.985,EA,20709,0,-7.14
103.48,103.465,0.5188,101.3,2.5523,101.05,GOOGL,159928,0,5.16
103.29,103.205,0.5229,102.16,1.1814,101.95,AMZN,587477,0,2.26
98.36,98.3,0.7387,96.34,0.4291,95.27,AMD,456390,-6,4.33
90.92,90.86,1.2305,89.77,1.7355,89.79,SONY,2083,0,0.0
32.8998,32.775,0.8608,31.8,2.1346,31.74,INTC,131092,1,-0.19
9.63,9.625,0.4083,8.9,9.0034,8.77,CVNA,23361,3,2.58
6.17,6.065,0.9549,5.75,6.0315,5.67,SOFI,91781,0,0.95
5.055,4.9764,0.3926,4.91,0.1288,4.87,AMC,412473,0,-0.08
