low,percentchange,high,open,symbol,price,relvolume,watchers,hourchange,sentiment
7.02,3.2389,7.9,7.21,CVNA,7.65,0.4207,23300,0,0.39
95.94,1.2836,98.75,96.66,AMD,97.84,1.4973,455822,-1,-0.57
177.33,-2.1724,186.21,184.515,TSLA,180.13,0.6722,888627,0,0.65
122.93,-0.8099,124.52,124.08,IBM,123.69,2.0994,51324,0,1.4
112.98,-0.1585,114.0,113.65,EA,113.35,0.7406,20733,-1,-25.0
276.3201,1.1694,283.33,278.26,MSFT,279.43,1.7577,441749,-2,-1.45
125.46,-3.7782,128.45,128.38,JPM,125.81,2.2173,82043,4,3.88
441.305,-1.4551,450.16,449.81,NOC,443.6,0.8804,7998,0,3.41
195.4304,-4.5479,201.9,200.56,META,195.61,1.116,511611,-6,-1.49
5.33,0.1835,5.54,5.47,SOFI,5.46,0.6642,91541,-2,5.5
97.455,-1.0896,100.65,99.79,AMZN,98.95,0.8764,586545,0,2.06
4.1078,-4.7836,4.34,4.3,AMC,4.18,0.6185,411722,-1,-0.23
29.44,-1.226,30.56,29.92,INTC,29.81,1.0943,130795,0,-4.46
100.1,1.2959,102.835,100.26,GOOGL,101.62,1.2376,159517,3,0.71
154.28,-0.5454,156.74,156.08,AAPL,155.0,0.9896,875803,-4,4.31
86.18,0.1505,87.47,87.25,SONY,86.52,1.0052,2077,0,33.33
256.68,0.7204,263.99,259.82,NVDA,257.25,1.3828,419191,-4,2.34
181.55,-8.6822,200.7,200.7,ENPH,183.64,1.684,37125,2,-3.48
