percentchange,open,relvolume,price,low,high,symbol,watchers,hourchange,sentiment
0.1642,127.37,0.4493,128.08,127.14,128.42,EA,20704,-2,-10.0
0.9119,265.655,0.5878,270.02,264.36,270.06,NVDA,421747,7,-1.17
1.0033,8.91,0.273,9.06,8.68,9.2192,CVNA,23312,0,-1.03
1.5625,5.24,0.3666,5.2,5.1301,5.3,AMC,413211,-2,-1.77
-2.049,90.23,0.7217,89.87,88.3,90.69,AMD,456852,0,-2.94
0.6757,5.89,0.6655,5.96,5.81,6.0,SOFI,91921,1,0.21
-1.1874,219.79,0.4402,218.86,217.13,220.979,META,512927,3,0.34
0.7929,139.95,1.0164,139.83,137.66,140.06,JPM,82978,2,0.54
0.0121,165.09,0.5412,165.23,164.03,165.39,AAPL,878015,0,2.83
-0.2497,128.3,0.5124,127.82,126.8,128.72,IBM,51377,-1,-5.04
1.1027,186.32,0.6825,187.04,182.7,189.69,TSLA,891682,8,0.44
0.4698,472.99,0.4391,474.79,471.38,477.68,NOC,8041,0,6.35
-2.6637,104.658,0.816,105.97,104.52,106.155,GOOGL,160537,0,-11.86
0.7839,31.95,0.5168,32.14,31.77,32.64,INTC,131274,0,4.28
0.3192,90.55,0.9083,91.15,90.35,91.23,SONY,2088,0,0.0
0.9296,289.93,0.6118,288.8,286.2,291.58,MSFT,443563,4,2.73
7.6687,215.0,1.7249,224.92,214.7801,229.23,ENPH,37481,4,3.52
0.2244,103.16,0.5299,102.74,101.59,103.73,AMZN,588622,3,0.14
