percentchange,high,low,open,symbol,price,relvolume,watchers,hourchange,sentiment
-0.4088,482.74,477.4201,480.46,NOC,477.51,0.2564,8043,0,7.5
0.0555,289.05,284.54,285.99,MSFT,288.53,0.4009,443641,0,4.6
0.5484,278.88,272.32,273.61,NVDA,278.1873,0.5461,421921,8,1.56
-1.378,228.49,222.3,225.06,ENPH,224.73,0.4133,37476,-1,-1.38
-0.6928,217.33,212.94,213.472,META,216.3805,0.3985,512960,-3,2.17
-0.7921,183.2499,177.65,179.1,TSLA,182.85,0.514,891958,40,-0.65
0.8598,168.16,165.54,165.8,AAPL,167.9013,0.5226,878169,19,3.05
-0.3041,141.5,140.41,141.23,JPM,140.97,0.4317,82989,-4,-0.87
-0.2712,128.9,128.08,128.58,EA,128.69,0.2725,20704,1,10.0
-1.4087,126.98,125.3,126.5,IBM,125.98,0.5962,51403,0,0.0
2.434,105.12,101.39,101.58,AMZN,104.79,0.695,588728,18,1.49
0.0957,104.98,103.07,103.58,GOOGL,104.6,0.3662,160554,0,-1.32
-0.3778,91.12,90.73,91.0,SONY,90.965,0.2978,2086,0,0.0
0.1615,90.54,88.22,88.51,AMD,89.925,0.4548,456897,4,0.99
-1.7908,31.52,31.0828,31.1,INTC,31.26,0.3044,131283,0,1.78
-0.8239,8.77,8.3,8.6,CVNA,8.7275,0.2421,23285,-5,-4.31
1.8395,6.09,5.87,5.9,SOFI,6.09,0.3977,91947,25,0.16
0.7921,5.17,4.92,4.95,AMC,5.09,0.255,413181,-2,-1.84
