price,high,open,low,relvolume,symbol,percentchange,watchers,hourchange,sentiment
471.66,474.7299,467.43,466.03,0.3283,NOC,0.7239,8038,0,0.0
283.51,287.01,284.79,281.96,0.6307,MSFT,0.2404,443295,7,-1.17
264.75,274.63,273.7,264.4786,0.7646,NVDA,-2.5544,421418,3,4.17
214.16,216.84,214.835,212.584,0.4898,META,0.145,512754,6,-0.58
196.29,201.26,199.9,195.89,0.3793,ENPH,-0.2997,37406,2,2.01
180.89,191.58,190.74,180.32,0.802,TSLA,-3.1586,891214,12,0.73
159.83,162.06,161.22,159.78,0.5657,AAPL,-0.6032,877676,1,1.58
128.56,130.43,129.18,128.0603,0.5599,JPM,0.0311,82618,2,3.1
128.375,130.87,130.4,128.34,0.4646,IBM,-1.568,51367,0,-1.0
126.25,127.1812,126.28,125.82,0.2972,EA,0.4535,20701,0,-29.17
104.49,106.75,106.58,104.34,0.4354,GOOGL,-0.8163,160345,1,-0.31
97.88,100.51,100.4,97.88,0.6783,AMZN,-2.0416,588245,2,-2.17
92.17,94.995,94.97,91.74,0.7494,AMD,-1.9781,456743,1,5.29
89.42,90.4,90.0,89.37,0.3641,SONY,0.5736,2089,0,0.0
32.08,32.89,32.77,31.96,0.4813,INTC,-0.8346,131236,-1,-2.33
9.115,10.32,9.79,8.79,0.5404,CVNA,-6.6086,23330,-1,7.63
5.835,6.05,6.06,5.67,0.8835,SOFI,-2.2613,91922,2,1.26
5.45,5.74,5.62,5.42,0.6982,AMC,0.3683,413221,6,1.07
